report_month,plant_name,parameter_name,unit,month_actual,ytd_actual
2025-09,BSL,Fuel Rate,Kg/THM,550.75,
2025-10,BSL,Fuel Rate,Kg/THM,557.0,
2025-11,BSL,Fuel Rate,Kg/THM,543.5,
2026-03,BSL,Fuel Rate,Kg/THM,545.25,
2026-04,BSL,Fuel Rate,Kg/THM,554.0,554.0
2026-05,BSL,Fuel Rate,Kg/THM,556.77,555.385
2023-03,BSL,Nut Coke Rate,Kg/THM,,17.0
2024-03,BSL,Nut Coke Rate,Kg/THM,,17.0
2024-10,BSL,Nut Coke Rate,Kg/THM,16.24,16.24
2025-03,BSL,Nut Coke Rate,Kg/THM,15.76,16.0
2025-04,BSL,Nut Coke Rate,Kg/THM,16.16,16.16
2025-05,BSL,Nut Coke Rate,Kg/THM,15.84,16.0
2025-06,BSL,Nut Coke Rate,Kg/THM,16.5,
2025-07,BSL,Nut Coke Rate,Kg/THM,17.5,
2025-08,BSL,Nut Coke Rate,Kg/THM,16.25,
2025-09,BSL,Nut Coke Rate,Kg/THM,12.0,
2025-10,BSL,Nut Coke Rate,Kg/THM,10.0,
2025-11,BSL,Nut Coke Rate,Kg/THM,14.5,
2026-03,BSL,Nut Coke Rate,Kg/THM,25.5,
2026-04,BSL,Nut Coke Rate,Kg/THM,16.0,16.0
2026-05,BSL,Nut Coke Rate,Kg/THM,16.08,16.04
2024-10,BSL,Pellet in Burden,%,14.21,14.21
2025-03,BSL,Pellet in Burden,%,13.79,14.0
2025-04,BSL,Pellet in Burden,%,14.14,14.14
2025-05,BSL,Pellet in Burden,%,13.86,14.0
2025-06,BSL,Pellet in Burden,%,1129.25,
2025-07,BSL,Pellet in Burden,%,1133.0,
2025-08,BSL,Pellet in Burden,%,1085.0,
2025-09,BSL,Pellet in Burden,%,1094.5,
2025-10,BSL,Pellet in Burden,%,1099.5,
2025-11,BSL,Pellet in Burden,%,1074.75,
2026-03,BSL,Pellet in Burden,%,1017.0,
2026-04,BSL,Pellet in Burden,%,14.0,14.0
2026-05,BSL,Pellet in Burden,%,14.07,14.035
2025-04,BSL,Refractory,Kg/TCS,11.0543,11.0543
2025-05,BSL,Refractory,Kg/TCS,8.7498,9.7736
2026-05,BSL,Refractory,Kg/TCS,8.7498,9.7736
2024-10,BSL,Sinter Productivity,T/m²/hr,1.117,1.117
2025-03,BSL,Sinter Productivity,T/m²/hr,1.084,1.101
2025-04,BSL,Sinter Productivity,T/m²/hr,1.111,1.111
2025-05,BSL,Sinter Productivity,T/m²/hr,1.089,1.1
2026-04,BSL,Sinter Productivity,T/m²/hr,1.1,1.1
2026-05,BSL,Sinter Productivity,T/m²/hr,1.105,1.103
2023-03,BSL,Sinter in Burden,%,,65.0
2024-03,BSL,Sinter in Burden,%,,64.0
2024-10,BSL,Sinter in Burden,%,56.84,56.84
2025-03,BSL,Sinter in Burden,%,55.16,56.0
2025-04,BSL,Sinter in Burden,%,56.56,56.56
2025-05,BSL,Sinter in Burden,%,55.44,56.0
2025-06,BSL,Sinter in Burden,%,64.235,
2025-07,BSL,Sinter in Burden,%,62.8875,
2025-08,BSL,Sinter in Burden,%,62.9625,
2025-09,BSL,Sinter in Burden,%,63.535,
2025-10,BSL,Sinter in Burden,%,62.68,
2025-11,BSL,Sinter in Burden,%,61.47,
2026-03,BSL,Sinter in Burden,%,59.1325,
2026-04,BSL,Sinter in Burden,%,56.0,56.0
2026-05,BSL,Sinter in Burden,%,56.28,56.14
2024-10,BSL,Sp. Heat Cons.,000 K.Cal/TDC,686.14,686.14
2025-03,BSL,Sp. Heat Cons.,000 K.Cal/TDC,665.86,676.0
2025-04,BSL,Sp. Heat Cons.,000 K.Cal/TDC,682.76,682.76
2025-05,BSL,Sp. Heat Cons.,000 K.Cal/TDC,669.24,676.0
2026-04,BSL,Sp. Heat Cons.,000 K.Cal/TDC,676.0,676.0
2026-05,BSL,Sp. Heat Cons.,000 K.Cal/TDC,679.38,677.69
2024-10,BSL,Specific Energy Consumption,G.Cal/TCS,6.638,6.638
2025-03,BSL,Specific Energy Consumption,G.Cal/TCS,6.442,6.54
2025-04,BSL,Specific Energy Consumption,G.Cal/TCS,6.605,6.605
2025-05,BSL,Specific Energy Consumption,G.Cal/TCS,6.475,6.54
2026-04,BSL,Specific Energy Consumption,G.Cal/TCS,6.54,6.54
2026-05,BSL,Specific Energy Consumption,G.Cal/TCS,6.573,6.556
2025-06,BSL BF-1,BF Coke Rate,Kg/THM,426.0,
2025-07,BSL BF-1,BF Coke Rate,Kg/THM,443.0,
2025-08,BSL BF-1,BF Coke Rate,Kg/THM,441.0,
2025-09,BSL BF-1,BF Coke Rate,Kg/THM,450.0,
2025-10,BSL BF-1,BF Coke Rate,Kg/THM,452.0,
2025-11,BSL BF-1,BF Coke Rate,Kg/THM,442.0,
2026-03,BSL BF-1,BF Coke Rate,Kg/THM,424.0,
2026-04,BSL BF-1,BF Coke Rate,Kg/THM,439.0,
2026-05,BSL BF-1,BF Coke Rate,Kg/THM,436.0,
2025-06,BSL BF-1,BF Productivity,T/m³/day,1.98,
2025-07,BSL BF-1,BF Productivity,T/m³/day,1.86,
2025-08,BSL BF-1,BF Productivity,T/m³/day,2.0,
2025-09,BSL BF-1,BF Productivity,T/m³/day,1.88,
2025-10,BSL BF-1,BF Productivity,T/m³/day,1.85,
2025-11,BSL BF-1,BF Productivity,T/m³/day,1.98,
2026-03,BSL BF-1,BF Productivity,T/m³/day,2.18,
2026-04,BSL BF-1,BF Productivity,T/m³/day,2.07,
2026-05,BSL BF-1,BF Productivity,T/m³/day,2.01,
2025-06,BSL BF-1,BF Scrap,T,2054.0,
2025-07,BSL BF-1,BF Scrap,T,0.0,
2025-08,BSL BF-1,BF Scrap,T,0.0,
2025-09,BSL BF-1,BF Scrap,T,414.0,
2025-10,BSL BF-1,BF Scrap,T,1943.0,
2025-11,BSL BF-1,BF Scrap,T,0.0,
2026-03,BSL BF-1,BF Scrap,T,12187.0,
2026-04,BSL BF-1,BF Scrap,T,3483.0,
2026-05,BSL BF-1,BF Scrap,T,1498.0,
2025-06,BSL BF-1,CDI,Kg/THM,106.0,
2025-07,BSL BF-1,CDI,Kg/THM,84.0,
2025-08,BSL BF-1,CDI,Kg/THM,84.0,
2025-09,BSL BF-1,CDI,Kg/THM,90.0,
2025-10,BSL BF-1,CDI,Kg/THM,90.0,
2025-11,BSL BF-1,CDI,Kg/THM,87.0,
2026-03,BSL BF-1,CDI,Kg/THM,92.0,
2026-04,BSL BF-1,CDI,Kg/THM,94.0,
2026-05,BSL BF-1,CDI,Kg/THM,102.0,
2025-06,BSL BF-1,Fuel Rate,Kg/THM,548.0,
2025-07,BSL BF-1,Fuel Rate,Kg/THM,544.0,
2025-08,BSL BF-1,Fuel Rate,Kg/THM,541.0,
2025-09,BSL BF-1,Fuel Rate,Kg/THM,552.0,
2025-10,BSL BF-1,Fuel Rate,Kg/THM,553.0,
2025-11,BSL BF-1,Fuel Rate,Kg/THM,544.0,
2026-03,BSL BF-1,Fuel Rate,Kg/THM,542.0,
2026-04,BSL BF-1,Fuel Rate,Kg/THM,548.0,
2026-05,BSL BF-1,Fuel Rate,Kg/THM,551.0,
2025-06,BSL BF-1,HBT,°C,1095.0,
2025-07,BSL BF-1,HBT,°C,1097.0,
2025-08,BSL BF-1,HBT,°C,1093.0,
2025-09,BSL BF-1,HBT,°C,1091.0,
2025-10,BSL BF-1,HBT,°C,1083.0,
2025-11,BSL BF-1,HBT,°C,1094.0,
2026-03,BSL BF-1,HBT,°C,1099.0,
2026-04,BSL BF-1,HBT,°C,1088.0,
2026-05,BSL BF-1,HBT,°C,1101.0,
2025-06,BSL BF-1,HM Production,T,94504.0,
2025-07,BSL BF-1,HM Production,T,94631.0,
2025-08,BSL BF-1,HM Production,T,104510.0,
2025-06,BSL BF-1,Hot Metal Temp,°C,1481.0,
2025-07,BSL BF-1,Hot Metal Temp,°C,1485.0,
2025-08,BSL BF-1,Hot Metal Temp,°C,1480.0,
2025-09,BSL BF-1,Hot Metal Temp,°C,1478.0,
2025-10,BSL BF-1,Hot Metal Temp,°C,1478.0,
2025-11,BSL BF-1,Hot Metal Temp,°C,1478.0,
2026-03,BSL BF-1,Hot Metal Temp,°C,1479.0,
2026-04,BSL BF-1,Hot Metal Temp,°C,1479.0,
2026-05,BSL BF-1,Hot Metal Temp,°C,1479.0,
2025-06,BSL BF-1,Iron Ore,T,50560.0,
2025-07,BSL BF-1,Iron Ore,T,49312.0,
2025-08,BSL BF-1,Iron Ore,T,27591.0,
2025-09,BSL BF-1,Iron Ore,T,39228.0,
2025-10,BSL BF-1,Iron Ore,T,44877.0,
2025-11,BSL BF-1,Iron Ore,T,59842.0,
2026-03,BSL BF-1,Iron Ore,T,69986.0,
2026-04,BSL BF-1,Iron Ore,T,59037.0,
2026-05,BSL BF-1,Iron Ore,T,47765.0,
2025-06,BSL BF-1,Nut Coke Rate,Kg/THM,16.0,
2025-07,BSL BF-1,Nut Coke Rate,Kg/THM,17.0,
2025-08,BSL BF-1,Nut Coke Rate,Kg/THM,16.0,
2025-09,BSL BF-1,Nut Coke Rate,Kg/THM,13.0,
2025-10,BSL BF-1,Nut Coke Rate,Kg/THM,10.0,
2025-11,BSL BF-1,Nut Coke Rate,Kg/THM,15.0,
2026-03,BSL BF-1,Nut Coke Rate,Kg/THM,26.0,
2026-04,BSL BF-1,Nut Coke Rate,Kg/THM,16.0,
2026-05,BSL BF-1,Nut Coke Rate,Kg/THM,14.0,
2025-06,BSL BF-1,O2 Enrichment,%,2.58,
2025-07,BSL BF-1,O2 Enrichment,%,1.9,
2025-08,BSL BF-1,O2 Enrichment,%,2.57,
2025-09,BSL BF-1,O2 Enrichment,%,1.74,
2025-10,BSL BF-1,O2 Enrichment,%,1.93,
2025-11,BSL BF-1,O2 Enrichment,%,2.63,
2026-03,BSL BF-1,O2 Enrichment,%,3.5,
2026-04,BSL BF-1,O2 Enrichment,%,2.95,
2026-05,BSL BF-1,O2 Enrichment,%,2.78,
2025-06,BSL BF-1,Pellet Consumption,T,9235.0,
2025-07,BSL BF-1,Pellet Consumption,T,15386.0,
2025-08,BSL BF-1,Pellet Consumption,T,39250.0,
2025-09,BSL BF-1,Pellet Consumption,T,4753.0,
2025-10,BSL BF-1,Pellet Consumption,T,10892.0,
2025-11,BSL BF-1,Pellet Consumption,T,9299.0,
2026-03,BSL BF-1,Pellet Consumption,T,1471.0,
2026-04,BSL BF-1,Pellet Consumption,T,8229.0,
2026-05,BSL BF-1,Pellet Consumption,T,20372.0,
2025-06,BSL BF-1,Pellet in Burden,%,1088.0,
2025-07,BSL BF-1,Pellet in Burden,%,1096.0,
2025-08,BSL BF-1,Pellet in Burden,%,1066.0,
2025-09,BSL BF-1,Pellet in Burden,%,1128.0,
2025-10,BSL BF-1,Pellet in Burden,%,1112.0,
2025-11,BSL BF-1,Pellet in Burden,%,1083.0,
2026-03,BSL BF-1,Pellet in Burden,%,1029.0,
2026-04,BSL BF-1,Pellet in Burden,%,4.5,
2026-05,BSL BF-1,Pellet in Burden,%,10.8,
2025-06,BSL BF-1,S in HM,%,81.7,
2025-07,BSL BF-1,S in HM,%,76.0,
2025-08,BSL BF-1,S in HM,%,75.8,
2025-09,BSL BF-1,S in HM,%,67.4,
2025-10,BSL BF-1,S in HM,%,79.2,
2025-11,BSL BF-1,S in HM,%,80.5,
2026-03,BSL BF-1,S in HM,%,86.5,
2025-06,BSL BF-1,Si in HM,%,83.2,
2025-07,BSL BF-1,Si in HM,%,89.7,
2025-08,BSL BF-1,Si in HM,%,92.9,
2025-09,BSL BF-1,Si in HM,%,89.7,
2025-10,BSL BF-1,Si in HM,%,89.1,
2025-11,BSL BF-1,Si in HM,%,84.7,
2026-03,BSL BF-1,Si in HM,%,86.1,
2025-06,BSL BF-1,Sinter Consumption,T,102846.0,
2025-07,BSL BF-1,Sinter Consumption,T,103692.0,
2025-08,BSL BF-1,Sinter Consumption,T,111409.0,
2025-09,BSL BF-1,Sinter Consumption,T,84127.0,
2025-10,BSL BF-1,Sinter Consumption,T,98287.0,
2025-11,BSL BF-1,Sinter Consumption,T,110369.0,
2026-03,BSL BF-1,Sinter Consumption,T,120011.0,
2026-04,BSL BF-1,Sinter Consumption,T,110488.0,
2026-05,BSL BF-1,Sinter Consumption,T,118558.0,
2025-06,BSL BF-1,Sinter in Burden,%,62.45,
2025-07,BSL BF-1,Sinter in Burden,%,61.58,
2025-08,BSL BF-1,Sinter in Burden,%,62.5,
2025-09,BSL BF-1,Sinter in Burden,%,65.46,
2025-10,BSL BF-1,Sinter in Burden,%,63.0,
2025-11,BSL BF-1,Sinter in Burden,%,61.48,
2026-03,BSL BF-1,Sinter in Burden,%,58.93,
2026-04,BSL BF-1,Sinter in Burden,%,60.96,
2026-05,BSL BF-1,Sinter in Burden,%,63.0,
2025-06,BSL BF-1,Slag Rate,Kg/THM,395.0,
2025-07,BSL BF-1,Slag Rate,Kg/THM,398.0,
2025-08,BSL BF-1,Slag Rate,Kg/THM,384.0,
2025-09,BSL BF-1,Slag Rate,Kg/THM,396.0,
2025-10,BSL BF-1,Slag Rate,Kg/THM,411.0,
2025-11,BSL BF-1,Slag Rate,Kg/THM,400.0,
2026-03,BSL BF-1,Slag Rate,Kg/THM,406.0,
2026-04,BSL BF-1,Slag Rate,Kg/THM,413.0,
2026-05,BSL BF-1,Slag Rate,Kg/THM,428.0,
2025-06,BSL BF-2,BF Coke Rate,Kg/THM,436.0,
2025-07,BSL BF-2,BF Coke Rate,Kg/THM,465.0,
2025-08,BSL BF-2,BF Coke Rate,Kg/THM,504.0,
2025-09,BSL BF-2,BF Coke Rate,Kg/THM,442.0,
2025-10,BSL BF-2,BF Coke Rate,Kg/THM,455.0,
2025-11,BSL BF-2,BF Coke Rate,Kg/THM,458.0,
2026-03,BSL BF-2,BF Coke Rate,Kg/THM,417.0,
2026-04,BSL BF-2,BF Coke Rate,Kg/THM,434.0,
2026-05,BSL BF-2,BF Coke Rate,Kg/THM,424.0,
2025-06,BSL BF-2,BF Productivity,T/m³/day,1.99,
2025-07,BSL BF-2,BF Productivity,T/m³/day,1.74,
2025-08,BSL BF-2,BF Productivity,T/m³/day,1.66,
2025-09,BSL BF-2,BF Productivity,T/m³/day,2.06,
2025-10,BSL BF-2,BF Productivity,T/m³/day,2.06,
2025-11,BSL BF-2,BF Productivity,T/m³/day,1.98,
2026-03,BSL BF-2,BF Productivity,T/m³/day,2.35,
2026-04,BSL BF-2,BF Productivity,T/m³/day,2.18,
2026-05,BSL BF-2,BF Productivity,T/m³/day,1.91,
2025-06,BSL BF-2,BF Scrap,T,2227.0,
2025-07,BSL BF-2,BF Scrap,T,108.0,
2025-08,BSL BF-2,BF Scrap,T,0.0,
2025-09,BSL BF-2,BF Scrap,T,0.0,
2025-10,BSL BF-2,BF Scrap,T,0.0,
2025-11,BSL BF-2,BF Scrap,T,0.0,
2026-03,BSL BF-2,BF Scrap,T,0.0,
2026-04,BSL BF-2,BF Scrap,T,0.0,
2026-05,BSL BF-2,BF Scrap,T,0.0,
2025-06,BSL BF-2,CDI,Kg/THM,115.0,
2025-07,BSL BF-2,CDI,Kg/THM,94.0,
2025-08,BSL BF-2,CDI,Kg/THM,62.0,
2025-09,BSL BF-2,CDI,Kg/THM,100.0,
2025-10,BSL BF-2,CDI,Kg/THM,106.0,
2025-11,BSL BF-2,CDI,Kg/THM,76.0,
2026-03,BSL BF-2,CDI,Kg/THM,109.0,
2026-04,BSL BF-2,CDI,Kg/THM,105.0,
2026-05,BSL BF-2,CDI,Kg/THM,115.0,
2025-06,BSL BF-2,Fuel Rate,Kg/THM,567.0,
2025-07,BSL BF-2,Fuel Rate,Kg/THM,576.0,
2025-08,BSL BF-2,Fuel Rate,Kg/THM,581.0,
2025-09,BSL BF-2,Fuel Rate,Kg/THM,553.0,
2025-10,BSL BF-2,Fuel Rate,Kg/THM,571.0,
2025-11,BSL BF-2,Fuel Rate,Kg/THM,548.0,
2026-03,BSL BF-2,Fuel Rate,Kg/THM,550.0,
2026-04,BSL BF-2,Fuel Rate,Kg/THM,553.0,
2026-05,BSL BF-2,Fuel Rate,Kg/THM,553.0,
2025-06,BSL BF-2,HBT,°C,963.0,
2025-07,BSL BF-2,HBT,°C,948.0,
2025-08,BSL BF-2,HBT,°C,938.0,
2025-09,BSL BF-2,HBT,°C,934.0,
2025-10,BSL BF-2,HBT,°C,955.0,
2025-11,BSL BF-2,HBT,°C,963.0,
2026-03,BSL BF-2,HBT,°C,975.0,
2026-04,BSL BF-2,HBT,°C,958.0,
2026-05,BSL BF-2,HBT,°C,956.0,
2025-06,BSL BF-2,HM Production,T,123120.0,
2025-07,BSL BF-2,HM Production,T,115191.0,
2025-08,BSL BF-2,HM Production,T,67263.0,
2025-06,BSL BF-2,Hot Metal Temp,°C,1486.0,
2025-07,BSL BF-2,Hot Metal Temp,°C,1483.0,
2025-08,BSL BF-2,Hot Metal Temp,°C,1484.0,
2025-09,BSL BF-2,Hot Metal Temp,°C,1481.0,
2025-10,BSL BF-2,Hot Metal Temp,°C,1480.0,
2025-11,BSL BF-2,Hot Metal Temp,°C,1482.0,
2026-03,BSL BF-2,Hot Metal Temp,°C,1479.0,
2026-04,BSL BF-2,Hot Metal Temp,°C,1484.0,
2026-05,BSL BF-2,Hot Metal Temp,°C,1473.0,
2025-06,BSL BF-2,Iron Ore,T,62723.0,
2025-07,BSL BF-2,Iron Ore,T,61017.0,
2025-08,BSL BF-2,Iron Ore,T,30903.0,
2025-09,BSL BF-2,Iron Ore,T,44405.0,
2025-10,BSL BF-2,Iron Ore,T,74224.0,
2025-11,BSL BF-2,Iron Ore,T,58963.0,
2026-03,BSL BF-2,Iron Ore,T,79645.0,
2026-04,BSL BF-2,Iron Ore,T,62914.0,
2026-05,BSL BF-2,Iron Ore,T,54681.0,
2025-06,BSL BF-2,Nut Coke Rate,Kg/THM,16.0,
2025-07,BSL BF-2,Nut Coke Rate,Kg/THM,17.0,
2025-08,BSL BF-2,Nut Coke Rate,Kg/THM,16.0,
2025-09,BSL BF-2,Nut Coke Rate,Kg/THM,11.0,
2025-10,BSL BF-2,Nut Coke Rate,Kg/THM,10.0,
2025-11,BSL BF-2,Nut Coke Rate,Kg/THM,14.0,
2026-03,BSL BF-2,Nut Coke Rate,Kg/THM,24.0,
2026-04,BSL BF-2,Nut Coke Rate,Kg/THM,15.0,
2026-05,BSL BF-2,Nut Coke Rate,Kg/THM,13.0,
2025-06,BSL BF-2,O2 Enrichment,%,2.69,
2025-07,BSL BF-2,O2 Enrichment,%,1.76,
2025-08,BSL BF-2,O2 Enrichment,%,1.21,
2025-09,BSL BF-2,O2 Enrichment,%,1.8,
2025-10,BSL BF-2,O2 Enrichment,%,2.29,
2025-11,BSL BF-2,O2 Enrichment,%,1.79,
2026-03,BSL BF-2,O2 Enrichment,%,3.22,
2026-04,BSL BF-2,O2 Enrichment,%,2.84,
2026-05,BSL BF-2,O2 Enrichment,%,2.39,
2025-06,BSL BF-2,Pellet Consumption,T,19906.0,
2025-07,BSL BF-2,Pellet Consumption,T,20068.0,
2025-08,BSL BF-2,Pellet Consumption,T,11880.0,
2025-09,BSL BF-2,Pellet Consumption,T,43313.0,
2025-10,BSL BF-2,Pellet Consumption,T,20633.0,
2025-11,BSL BF-2,Pellet Consumption,T,28237.0,
2026-03,BSL BF-2,Pellet Consumption,T,38922.0,
2026-04,BSL BF-2,Pellet Consumption,T,39109.0,
2026-05,BSL BF-2,Pellet Consumption,T,31589.0,
2025-06,BSL BF-2,Pellet in Burden,%,1092.0,
2025-07,BSL BF-2,Pellet in Burden,%,1110.0,
2025-08,BSL BF-2,Pellet in Burden,%,1108.0,
2025-09,BSL BF-2,Pellet in Burden,%,1050.0,
2025-10,BSL BF-2,Pellet in Burden,%,1081.0,
2025-11,BSL BF-2,Pellet in Burden,%,1042.0,
2026-03,BSL BF-2,Pellet in Burden,%,960.0,
2026-04,BSL BF-2,Pellet in Burden,%,16.0,
2026-05,BSL BF-2,Pellet in Burden,%,14.8,
2025-06,BSL BF-2,S in HM,%,58.8,
2025-07,BSL BF-2,S in HM,%,55.5,
2025-08,BSL BF-2,S in HM,%,50.8,
2025-09,BSL BF-2,S in HM,%,56.7,
2025-10,BSL BF-2,S in HM,%,62.4,
2025-11,BSL BF-2,S in HM,%,71.2,
2026-03,BSL BF-2,S in HM,%,34.9,
2025-06,BSL BF-2,Si in HM,%,91.9,
2025-07,BSL BF-2,Si in HM,%,88.4,
2025-08,BSL BF-2,Si in HM,%,85.5,
2025-09,BSL BF-2,Si in HM,%,94.9,
2025-10,BSL BF-2,Si in HM,%,95.5,
2025-11,BSL BF-2,Si in HM,%,90.9,
2026-03,BSL BF-2,Si in HM,%,96.2,
2025-06,BSL BF-2,Sinter Consumption,T,134419.0,
2025-07,BSL BF-2,Sinter Consumption,T,127859.0,
2025-08,BSL BF-2,Sinter Consumption,T,74549.0,
2025-09,BSL BF-2,Sinter Consumption,T,136579.0,
2025-10,BSL BF-2,Sinter Consumption,T,153016.0,
2025-11,BSL BF-2,Sinter Consumption,T,127533.0,
2026-03,BSL BF-2,Sinter Consumption,T,153135.0,
2026-04,BSL BF-2,Sinter Consumption,T,142772.0,
2026-05,BSL BF-2,Sinter Consumption,T,127263.0,
2025-06,BSL BF-2,Sinter in Burden,%,61.3,
2025-07,BSL BF-2,Sinter in Burden,%,61.16,
2025-08,BSL BF-2,Sinter in Burden,%,63.54,
2025-09,BSL BF-2,Sinter in Burden,%,60.89,
2025-10,BSL BF-2,Sinter in Burden,%,61.73,
2025-11,BSL BF-2,Sinter in Burden,%,59.39,
2026-03,BSL BF-2,Sinter in Burden,%,56.36,
2026-04,BSL BF-2,Sinter in Burden,%,58.32,
2026-05,BSL BF-2,Sinter in Burden,%,59.6,
2025-06,BSL BF-2,Slag Rate,Kg/THM,395.0,
2025-07,BSL BF-2,Slag Rate,Kg/THM,397.0,
2025-08,BSL BF-2,Slag Rate,Kg/THM,393.0,
2025-09,BSL BF-2,Slag Rate,Kg/THM,393.0,
2025-10,BSL BF-2,Slag Rate,Kg/THM,409.0,
2025-11,BSL BF-2,Slag Rate,Kg/THM,399.0,
2026-03,BSL BF-2,Slag Rate,Kg/THM,404.0,
2026-04,BSL BF-2,Slag Rate,Kg/THM,410.0,
2026-05,BSL BF-2,Slag Rate,Kg/THM,422.0,
2025-06,BSL BF-4,BF Coke Rate,Kg/THM,474.0,
2025-07,BSL BF-4,BF Coke Rate,Kg/THM,469.0,
2025-08,BSL BF-4,BF Coke Rate,Kg/THM,461.0,
2025-09,BSL BF-4,BF Coke Rate,Kg/THM,445.0,
2025-10,BSL BF-4,BF Coke Rate,Kg/THM,462.0,
2025-11,BSL BF-4,BF Coke Rate,Kg/THM,450.0,
2026-03,BSL BF-4,BF Coke Rate,Kg/THM,428.0,
2026-04,BSL BF-4,BF Coke Rate,Kg/THM,443.0,
2026-05,BSL BF-4,BF Coke Rate,Kg/THM,443.0,
2025-06,BSL BF-4,BF Productivity,T/m³/day,1.77,
2025-07,BSL BF-4,BF Productivity,T/m³/day,1.74,
2025-08,BSL BF-4,BF Productivity,T/m³/day,1.8,
2025-09,BSL BF-4,BF Productivity,T/m³/day,1.84,
2025-10,BSL BF-4,BF Productivity,T/m³/day,1.65,
2025-11,BSL BF-4,BF Productivity,T/m³/day,1.84,
2026-03,BSL BF-4,BF Productivity,T/m³/day,2.05,
2026-04,BSL BF-4,BF Productivity,T/m³/day,2.01,
2026-05,BSL BF-4,BF Productivity,T/m³/day,1.95,
2025-06,BSL BF-4,BF Scrap,T,0.0,
